#############################################################
#                                                           #
#    #    ##   #  #   #                           #         #
#   # #  #  #  #  #  # #                          #         #
#  ##### #  #  #  # #####  ##  ###  #  #  ## ###  ###       #
#  #   # #  #  #  # #   # #  # #  # #  # #   #  # #  #      #
#  #   # #  #  #  # #   # #  # #  # #  #   # #  # #  #      #
#  #   #  ## #  ##  #   #  ### ###   ### ##  ###  #  #      #
#                            # #             #              #
#                          ##  #             #              #
#                                                           #
#############################################################
-0.097 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.097 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.097 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.097 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.097 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.097 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.097 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.097 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.095 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.095 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.095 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.095 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.095 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.095 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.095 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.095 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.095 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.093 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.093 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.093 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.093 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.093 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.093 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.093 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.093 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.093 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.091 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.091 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.091 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.091 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.091 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.091 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.091 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.091 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.091 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.089 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.089 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.089 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.089 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.089 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.089 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.089 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.089 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.089 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.087 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.087 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.087 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.087 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.087 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.087 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.087 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.087 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.087 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08499999999999999 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08499999999999999 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08499999999999999 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08499999999999999 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08499999999999999 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08499999999999999 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08499999999999999 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08499999999999999 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08499999999999999 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08299999999999999 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08299999999999999 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08299999999999999 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08299999999999999 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08299999999999999 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08299999999999999 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08299999999999999 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08299999999999999 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08299999999999999 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08099999999999999 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08099999999999999 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
-0.08099999999999999 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, 1
